Date,Close,High,Low,Open,Volume
,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2020-01-02,8.816064834594727,8.816064834594727,8.704068853016354,8.761502717811926,37774500
2020-01-03,8.744275093078613,8.971137768864867,8.744275093078613,8.867757003948052,71595600
2020-01-06,8.847652435302734,8.884984609494207,8.60068814608254,8.738528756028215,81844000
2020-01-07,8.81319522857666,8.8677568108904,8.750017852400658,8.850526866356065,32822000
2020-01-08,8.758630752563477,8.836166303795448,8.683966949273051,8.813192867993003,48215600
2020-01-09,8.729915618896484,8.793092991162695,8.68684048636136,8.750017310897542,36102700
2020-01-10,8.692582130432129,8.741400749626628,8.652378207270248,8.727042010022416,25397500
2020-01-13,8.709813117980957,8.738530052913996,8.675352686515316,8.715556614513561,30676800
2020-01-14,8.615047454833984,8.692583013382682,8.548998889135449,8.68109602053252,39796500
2020-01-15,8.485821723937988,8.594945967666824,8.482950523387737,8.586330722826132,34405700
2020-01-16,8.477206230163574,8.528896598890046,8.422644113426749,8.500179666516459,28997400
2020-01-17,8.571972846984863,8.571972846984863,8.4829508379169,8.534640665687654,34908000
2020-01-20,8.615047454833984,8.643764389229425,8.514538458314927,8.528897199377631,31241400
2020-01-21,8.505924224853516,8.597817981741793,8.485821986270459,8.557614052305674,28577400
2020-01-22,8.411158561706543,8.560485639981907,8.40541506507634,8.537512201191083,32491500
2020-01-23,8.514541625976562,8.546130320336474,8.276191912962203,8.353727500356436,53752100
2020-01-24,8.414030075073242,8.551871260672256,8.368083195783575,8.488693890851456,36898700
2020-01-27,8.049327850341797,8.224500145328332,7.94594708444608,8.221628396527887,66105300
2020-01-28,8.270445823669434,8.368083077714878,8.161322123828642,8.164193872209978,47259100
2020-01-29,8.284806251525879,8.350854834547441,8.233115865602878,8.327881390551676,42297500
2020-01-30,8.310650825500488,8.339367765288852,8.092402849931021,8.121119789719385,44266800
2020-01-31,8.169938087463379,8.28193354553475,8.129734154319005,8.221627919683211,55446700
2020-02-03,8.092401504516602,8.25034382549856,8.08665800796781,8.190038754926169,39452800
2020-02-04,8.221627235412598,8.339366728682553,8.20152554437846,8.227370732202353,57658400
2020-02-05,8.152706146240234,8.39105576317769,8.152706146240234,8.342237140540863,67994500
2020-02-06,8.379570007324219,8.474335512265494,8.075171801714365,8.241729372451454,126114000
2020-02-07,8.307779312133789,8.428390024478137,8.250345430929782,8.327881006236167,54514600
2020-02-10,8.365211486816406,8.365211486816406,8.224499099861871,8.296291167556838,45328100
2020-02-11,8.465721130371094,8.50879626469462,8.402544303211924,8.442747688883209,37518200
2020-02-12,8.652379989624023,8.695455669580156,8.508795850383644,8.511667598896054,64851000
2020-02-13,8.534640312194824,8.675352690935432,8.511666873782683,8.548999053533647,55277100
2020-02-14,8.448490142822266,8.60356071678218,8.425516704171537,8.574844329266258,30399900
2020-02-17,8.43126106262207,8.549000016208737,8.416902319666356,8.508796083662775,38684900
2020-02-18,8.543257713317871,8.549001211303061,8.313523271211453,8.345111414669764,33890900
2020-02-19,8.772989273071289,8.772989273071289,8.546126654492852,8.577715335302862,44181800
2020-02-20,8.592074394226074,8.870627410316919,8.54325576792871,8.844782222998903,73522900
2020-02-21,8.368083000183105,8.52315412495852,8.336494863741072,8.474335498388111,47805100
2020-02-26,7.526679992675781,7.8655386343603375,7.474990164863391,7.7650301793945795,89207100
2020-02-27,7.2653584480285645,7.6185759062227545,7.147619477873873,7.385969167178507,100112100
2020-02-28,7.276844024658203,7.340020847040702,7.070083066900017,7.225153648286154,89095300
2020-03-02,7.618574619293213,7.681751443326549,7.317047598487242,7.322791095507551,71596400
2020-03-03,7.4807329177856445,7.891383615239525,7.397454407607367,7.630060543719781,86855700
2020-03-04,7.721955299377441,7.736314042806571,7.535296016639214,7.7276987967490935,42320500
2020-03-05,7.262487888336182,7.658779973277475,7.095929718278494,7.561142689734082,69722300
2020-03-06,6.556051254272461,6.929369767507939,6.475643945511444,6.920755070386031,138597600
