Date,Close,High,Low,Open,Volume
,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA
2020-01-02,106.33926391601562,106.33926391601562,102.84707835893458,104.11892175588353,3323004
2020-01-03,105.3907699584961,106.33926131330038,104.11891920751245,104.55005768392114,3001580
2020-01-06,105.47699737548828,106.29615234335243,103.04108237945202,104.3344904019897,3071361
2020-01-07,105.17521667480469,106.05903625341388,104.55006987296898,105.49856133835385,3010695
2020-01-08,108.4087142944336,108.53805067316004,104.55006206399659,104.80874220661357,4491234
2020-01-09,112.26736450195312,112.59071652068897,108.68894977259342,108.86140073617602,4952939
2020-01-10,111.66377258300781,114.35836037096138,110.04701991023568,112.28891931306545,4208022
2020-01-13,116.90206146240234,116.90206146240234,112.4182623894018,112.52604886141211,3851348
2020-01-14,116.40625,118.66970666637336,115.54398044208807,116.40625,3724897
2020-01-15,115.67332458496094,117.1822982589718,114.68171858858538,115.71643917352756,4149782
2020-01-16,115.24219512939453,117.95834039656906,112.7416154229936,116.83739061834918,3762437
2020-01-17,117.16073608398438,117.33318704590268,114.46614826246399,115.97511448844985,2714911
2020-01-20,120.71759796142578,120.71759796142578,116.5140363728948,116.66493743218686,3325564
2020-01-21,120.52359008789062,122.31279381483601,119.87688603059442,120.1140088822259,3621214
2020-01-22,120.04933166503906,123.08882878300768,118.19545613770867,121.8169854043483,4048388
2020-01-23,121.96788024902344,122.26967497291882,118.41102282795543,120.02778291495355,3675368
2020-01-24,121.04094696044922,122.98105169236881,120.71759494093529,122.37746224063135,3376216
2020-01-27,115.97511291503906,119.20862564215899,115.8673338347388,118.6697080851663,3378506
2020-01-28,122.8517074584961,122.8517074584961,116.42781122084469,116.42781122084469,4650464
2020-01-29,123.49842071533203,125.22295263292614,122.11879075015806,123.97267382394757,4467749
2020-01-30,121.7954330444336,122.22656415749402,118.6050421293268,121.51519560539508,4973550
2020-01-31,120.28646850585938,123.19662202408006,118.99306037761528,119.94155917931667,4353602
2020-02-03,121.86009979248047,122.76548395395683,119.98466697490815,121.75231332617476,2757794
2020-02-04,124.29601287841797,126.47324802584153,123.15351314375073,124.1666838758615,3690321
2020-02-05,123.51997375488281,126.83970847499461,122.93794157562536,126.1067752347334,3871240
2020-02-06,120.35112762451172,125.35228678775705,120.28646312912139,125.02893477014969,4621097
2020-02-07,116.90206146240234,120.56670550361733,115.32842328203743,120.0708951175342,4387505
2020-02-10,112.91407012939453,119.70443307780816,111.10330175304152,116.40625573355524,5761755
2020-02-11,116.98828125,118.13078822094938,111.51287661464252,114.68171001542943,4260830
2020-02-12,120.58824920654297,121.90321455673435,116.94517003239254,117.5487594742568,4726622
2020-02-13,122.9810562133789,123.5199738039924,116.62182421304112,118.38947804594537,6171910
2020-02-14,121.42896270751953,124.94270554232487,120.71759417722052,124.16667251666334,4117720
2020-02-17,126.86126708984375,129.16784605589274,123.19663017771678,125.02894863378026,8282051
2020-02-18,125.50316619873047,127.4001635018195,123.95108555274462,125.5678454571004,4292173
2020-02-19,124.72716522216797,126.9690649865196,124.18824019250806,125.7834358293998,4099085
2020-02-20,121.88166046142578,125.30917417774697,120.35112952331382,124.87804307091106,5002109
2020-02-21,121.6876449584961,124.64092036887027,119.42419556722409,119.96311314397896,4304297
2020-02-26,113.99190521240234,116.51403474512105,111.57754737877258,114.37992173197566,6030237
2020-02-27,108.3224868774414,115.11284996285374,107.82668387813838,112.09490999320779,6603036
2020-02-28,108.9045181274414,108.9045181274414,101.79080307274435,105.62789803885765,8846048
2020-03-02,113.28053283691406,115.19908035655264,107.39555389580607,109.29254412088522,7253339
2020-03-03,113.92723846435547,118.13080018357412,111.3835441379695,113.5607718369884,6555123
2020-03-04,113.0649642944336,117.39786222397017,111.81467078362031,117.26852584518913,5090167
2020-03-05,103.01953887939453,112.09490858335631,100.45428735265195,112.09490858335631,9518130
2020-03-06,97.71659088134766,100.04471231691659,92.80166046553757,95.1297819011065,12727123
2020-03-09,87.00289916992188,91.31423989069275,83.59693527400778,84.11429556968714,10909309
2020-03-10,101.29499053955078,101.3381051237878,91.14177920278169,97.00520018541965,9218170
2020-03-11,92.86632537841797,100.82076062776024,86.01129742847958,97.00521533406172,9018077
2020-03-12,73.29283142089844,83.70472430655715,65.89887860912869,77.60417227354998,7862376
2020-03-13,90.53820037841797,92.17651045997513,73.74551834987498,91.61603556969693,13534457
2020-03-16,73.4437255859375,86.03284627607631,73.4437255859375,75.44850234512272,10371177
2020-03-17,76.6772232055664,81.22569385707315,70.8138019946074,77.86284477759847,12148801
2020-03-18,62.10489273071289,72.47367013513025,57.06061904929501,69.02459184128983,13667553
2020-03-19,65.85576629638672,67.62341285762987,53.891788369894805,59.280968314659,12654378
2020-03-20,66.07132720947266,77.75507054397994,66.07132720947266,70.70601993650007,12737900
2020-03-23,65.12284088134766,70.9862629151667,63.72165356826026,70.05932872854603,9634882
2020-03-24,79.07003021240234,81.46282346307439,72.68924082544586,72.68924082544586,9289478
2020-03-25,86.22685241699219,93.44834611883779,79.15624499469638,79.54426888064546,14052068
2020-03-26,88.6412124633789,95.71181327542877,86.78733677213982,87.60649183433053,10276474
2020-03-27,84.07118225097656,87.82204781440937,81.16102156799964,83.4029209429852,7666728
2020-03-30,89.67593383789062,90.58131808841652,85.79572406153909,88.3825330408283,8505854
2020-03-31,84.04962921142578,93.12500624970518,83.66160530567183,91.57291801185345,10907423
2020-04-01,80.79456329345703,84.35142064751129,77.75506620342915,80.62210494867237,8269253
2020-04-02,77.3670425415039,83.42447944636574,75.6856179858664,82.3897589152546,9237928
2020-04-03,76.61255645751953,76.84967928791582,71.8485204017796,76.18141799621067,7387917
2020-04-06,82.34664916992188,84.8903434460785,80.23409339718317,82.77778028817556,7297615
2020-04-07,86.42086791992188,91.83160117346196,86.42086791992188,89.33102146069035,8823147
2020-04-08,90.45196533203125,90.96932559946963,85.01967513876448,86.80888616672237,7104437
2020-04-09,89.7837142944336,94.20284138867098,88.94300198642513,92.30585121845898,5824037
2020-04-13,90.34418487548828,90.75375867048956,87.67114702086901,88.57653116768346,3797148
2020-04-14,92.47830200195312,93.5561371559617,91.27112308458476,92.47830200195312,5079165
2020-04-15,94.52619171142578,95.53936243184549,89.46036764998529,90.75376843809453,6075815
2020-04-16,98.23394775390625,99.16088926763372,95.28067962598821,96.25072834381743,6547444
2020-04-17,96.12139129638672,101.07943609473568,94.63397490281632,100.62674029573725,5441003
2020-04-20,104.50695037841797,104.65784405531682,93.2327881045795,94.2459514092034,8964641
2020-04-22,108.96918487548828,112.4829276489799,105.84345860805666,106.70572817787104,10046833
2020-04-23,106.64105987548828,113.17275005500177,104.72251241847653,111.79312017405522,7879529
2020-04-24,102.13571166992188,105.95124931483873,92.00405674308,104.31293928216071,11895047
2020-04-27,106.70572662353516,107.78356172381181,103.47222132270518,106.12369448775958,7859367
2020-04-28,111.66377258300781,111.66377258300781,108.10691522587635,109.93923344465202,6505189
2020-04-29,109.12008666992188,114.0134596425603,108.10692335787864,113.38832025064232,7534979
2020-04-30,107.13687133789062,111.12485996427209,105.86502052813223,107.48177327275964,5250160
2020-05-04,110.88773345947266,111.40509372988679,101.98480762528332,103.47222394159688,5877114
2020-05-05,108.21470642089844,113.8194477877599,108.10691995060405,112.4182605997535,5787036
2020-05-06,118.8852767944336,120.89004602410101,112.13802112077224,112.56915960893713,13400059
2020-05-07,122.42057037353516,125.46005999528857,115.0912829348551,121.79542366111212,10402879
2020-05-08,119.72599792480469,124.85648649264417,118.02301591050079,124.85648649264417,6231588
2020-05-11,118.45413970947266,121.90321811499356,117.61342740201424,119.51041757098511,3794903
2020-05-12,118.13079833984375,122.87327020092074,116.53559547130824,119.63976464514163,4607087
2020-05-13,118.77749633789062,120.58825740137367,117.33319451495709,119.85533153511031,5534629
2020-05-14,119.63976287841797,120.09245128628962,115.9751188715523,118.13079659540303,6011377
2020-05-15,118.84217071533203,121.25652131234777,117.05295952390662,118.56193326276929,3939719
2020-05-18,120.17867279052734,122.20500661981094,118.77748568280418,121.77386814850028,4665282
2020-05-19,126.27922821044922,127.7235299498485,120.0708901529654,120.58825042689507,6701421
2020-05-20,122.6576919555664,128.2624328622382,122.61457737098867,127.18459778844888,5438444
2020-05-21,125.65409851074219,127.4001877231521,123.0457322619643,124.16668207001238,4772065
2020-05-22,124.27445983886719,127.83131749652203,123.19662463261811,124.79182014705358,4989671
2020-05-25,130.2025604248047,131.49595380579905,126.92594022709288,127.61574412215836,4909247
2020-05-26,138.9976806640625,146.86587800304153,136.1306273205073,136.23842116469416,11494861
