Date,Close,High,Low,Open,Volume
,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA
2020-01-02,17.136362075805664,17.19051106440449,16.935694295797035,16.99302794722807,26319800
2020-01-03,17.107696533203125,17.171400730132937,16.83376933694448,16.91339927934262,18930800
2020-01-06,16.881547927856445,17.00895632276853,16.706362296144707,17.00895632276853,19999800
2020-01-07,16.754135131835938,16.891098695117982,16.655394806020638,16.881543493279388,21277000
2020-01-08,16.60125160217285,16.87836470245256,16.57577065005388,16.80510407935107,42937200
2020-01-09,16.263622283935547,16.668142597095937,16.15851016115977,16.626734680694266,49486000
2020-01-10,15.881397247314453,16.384657893936495,15.785841551379288,16.295472739737892,30696400
2020-01-13,16.05976676940918,16.085248935107778,15.801766524521854,15.919618503236515,28363800
2020-01-14,15.973764419555664,16.082061172792038,15.846356045728292,16.015171108251703,17530000
2020-01-15,15.680727005004883,15.93235789684473,15.559689160882762,15.903691071001502,29003800
2020-01-16,15.750808715820312,15.855919647105504,15.601103979535555,15.75717925939168,23745200
2020-01-17,15.964215278625488,16.011993744353465,15.839992725800984,15.881400648428105,22843600
2020-01-20,15.862290382385254,16.037476080015793,15.693475228403075,15.925994603811894,16996600
2020-01-21,15.403619766235352,15.814510654367915,15.304878177713462,15.782657941107578,28958400
2020-01-22,15.524658203125,15.604288166545702,15.381324025956374,15.546954495678252,20918800
2020-01-23,16.397396087646484,16.397396087646484,15.409985378569871,15.460948488424348,43249000
2020-01-24,16.180809020996094,16.397402628033813,16.180809020996094,16.371921670471245,18300600
2020-01-27,16.02154541015625,16.266805797572164,15.839989224611164,15.945101339956523,24031800
2020-01-28,16.152143478393555,16.29229300891511,15.951476820694547,16.180810317358695,15292800
2020-01-29,15.75399112701416,16.365549856776667,15.722139628769527,16.244511976344867,16800400
2020-01-30,15.862290382385254,15.922809939516194,15.406806839511678,15.511918987124178,25079800
2020-01-31,15.460951805114746,15.645692662321771,15.359025563540532,15.642507998859859,32252800
2020-02-03,15.537396430969238,15.65206376057969,15.292136023759477,15.464137018175157,20402800
2020-02-04,15.36858081817627,15.798582075252842,15.368580818176268,15.699841711881124,23533200
2020-02-05,16.053401947021484,16.336884437141926,15.639325143640699,15.671177859700617,47383400
2020-02-06,15.782662391662598,16.260442289785928,15.687106655049355,16.24451653619324,19325800
2020-02-07,15.798583030700684,16.027917696374494,15.690286240249907,15.782657282263719,15590000
2020-02-10,15.642510414123535,15.922808229260008,15.569250992621571,15.833621842819365,15570600
2020-02-11,16.346437454223633,16.451549580552403,15.824065131400786,15.90050920958833,36193000
2020-02-12,16.44199562072754,16.677700863045292,16.13940149621875,16.521625589542644,33234200
2020-02-13,16.187175750732422,16.416510390052586,16.069323767773597,16.355990851867222,27612600
2020-02-14,15.878210067749023,16.23176720728718,15.789024920858857,16.206286257485633,20045400
2020-02-17,15.639326095581055,16.00243979042499,15.639326095581053,15.951476656683957,13498000
2020-02-18,15.789027214050293,15.894139336771426,15.511915313782165,15.59472993148578,17858200
2020-02-19,15.827249526977539,16.031103233823888,15.65524974644045,15.7667311981827,22296200
2020-02-20,15.664803504943848,15.941915384425712,15.505543608565855,15.925989637799228,24104400
2020-02-21,15.677546501159668,15.677546501159668,15.394064045426852,15.546953418797694,12871200
2020-02-26,14.53626537322998,14.982991002260539,14.510555171884132,14.976563145426994,30428200
2020-02-27,14.716241836547852,15.294735471589517,14.263088346066572,14.398069662981344,62945800
2020-02-28,15.060121536254883,15.060121536254883,14.324148602905021,14.8319381738239,52758400
2020-03-02,15.153327941894531,15.26259906905729,14.880149510993402,15.047270130535763,26420400
2020-03-03,14.709814071655273,15.220817051435759,14.497699696613658,15.01191599186959,43107400
2020-03-04,14.725884437561035,15.00548949685971,14.46234840907475,14.928357658564853,38468000
2020-03-05,13.854931831359863,14.645540022916983,13.594609083705805,14.545910056928449,51693600
2020-03-06,13.594605445861816,13.729587983854339,13.253937624524518,13.43391270719681,38051400
2020-03-09,12.093737602233887,12.916483758417902,11.666294267163272,12.357273633635138,50349200
2020-03-10,12.730076789855957,13.077172408873167,12.093733800000992,12.701152052772182,64873400
2020-03-11,11.630941390991211,12.476185641951668,11.001026073418542,12.405480436064865,50007000
2020-03-12,10.093897819519043,10.320001377109321,8.579005462262488,9.431738368991645,63084800
2020-03-13,11.786442756652832,12.167587192069057,10.24247935957767,11.705691576778209,81556200
2020-03-16,9.819344520568848,10.594555816598525,9.544790353035943,9.851645119587308,62690400
2020-03-17,10.294161796569824,10.752828572584349,9.709522747369238,10.14234916766813,54067400
2020-03-18,8.595158576965332,9.741825457490375,8.178482057646699,9.422050755170007,76586600
2020-03-19,8.259227752685547,8.943997794769565,7.538927622551307,8.236617528631115,83329800
2020-03-20,7.945916652679443,9.011832038247508,7.858705225837698,8.721127898191003,59350200
2020-03-23,7.148093223571777,8.075116916683337,7.077032416494673,8.075116916683337,53616200
2020-03-24,8.37228012084961,8.553162543017649,7.687510027089792,7.816712373292265,51598600
2020-03-25,9.37682819366455,9.87425519251228,8.310912139991977,8.375513336971892,50041200
2020-03-26,9.848413467407227,10.229559121204376,9.457578066668425,9.476958176634314,51320000
2020-03-27,9.12165355682373,9.528639593032315,9.050592737580695,9.29607640780568,41604800
2020-03-30,9.36390495300293,9.515716920335635,9.14426168718881,9.334834484522679,31537200
2020-03-31,9.008600234985352,9.52863796155923,8.860018379439973,9.431736804993333,37808400
2020-04-01,8.627455711364746,8.811568917905888,8.414272647035641,8.688826780211794,39653200
2020-04-02,8.727588653564453,8.97953196891068,8.498254956478652,8.70497841922135,31444800
2020-04-03,8.23661994934082,8.685596290609443,8.07511759739296,8.672676422816556,37936200
2020-04-06,8.99891185760498,9.14103349337229,8.637146293645872,8.769578181932413,42828000
2020-04-07,9.422046661376953,9.851642866656714,9.422046661376953,9.51248819472942,43029400
2020-04-08,9.602932929992676,9.867796777730868,9.231477518748068,9.46404076201221,39788200
